date,datetime,wait_time(posted),wait_time(actual)
2018-06-30,2018-06-30 07:44:00,150.0,
2018-06-30,2018-06-30 07:51:00,150.0,
2018-06-30,2018-06-30 07:58:00,150.0,
2018-06-30,2018-06-30 08:02:00,150.0,
2018-06-30,2018-06-30 08:07:00,150.0,
2018-06-30,2018-06-30 08:09:00,130.0,
2018-06-30,2018-06-30 08:12:00,135.0,
2018-06-30,2018-06-30 08:16:00,130.0,
2018-06-30,2018-06-30 08:23:00,130.0,
2018-06-30,2018-06-30 08:29:00,130.0,
2018-06-30,2018-06-30 08:37:00,130.0,
2018-06-30,2018-06-30 08:44:00,100.0,
2018-06-30,2018-06-30 08:51:00,100.0,
2018-06-30,2018-06-30 08:52:00,140.0,
2018-06-30,2018-06-30 08:58:00,100.0,
2018-06-30,2018-06-30 09:02:00,100.0,
2018-06-30,2018-06-30 09:09:00,100.0,
2018-06-30,2018-06-30 09:16:00,90.0,
2018-06-30,2018-06-30 09:23:00,90.0,
2018-06-30,2018-06-30 09:29:00,70.0,
2018-06-30,2018-06-30 09:37:00,70.0,
2018-06-30,2018-06-30 09:44:00,90.0,
2018-06-30,2018-06-30 09:51:00,90.0,
2018-06-30,2018-06-30 09:58:00,120.0,
2018-06-30,2018-06-30 10:02:00,120.0,
2018-06-30,2018-06-30 10:06:00,120.0,
2018-06-30,2018-06-30 10:09:00,120.0,
2018-06-30,2018-06-30 10:16:00,120.0,
2018-06-30,2018-06-30 10:23:00,120.0,
2018-06-30,2018-06-30 10:29:00,140.0,
2018-06-30,2018-06-30 10:37:00,140.0,
2018-06-30,2018-06-30 10:44:00,160.0,
2018-06-30,2018-06-30 10:51:00,160.0,
2018-06-30,2018-06-30 10:58:00,160.0,
2018-06-30,2018-06-30 11:02:00,160.0,
2018-06-30,2018-06-30 11:09:00,160.0,
2018-06-30,2018-06-30 11:16:00,160.0,
2018-06-30,2018-06-30 11:23:00,160.0,
2018-06-30,2018-06-30 11:29:00,160.0,
2018-06-30,2018-06-30 11:37:00,190.0,
2018-06-30,2018-06-30 11:44:00,190.0,
2018-06-30,2018-06-30 11:51:00,190.0,
2018-06-30,2018-06-30 11:58:00,190.0,
2018-06-30,2018-06-30 12:02:00,120.0,
2018-06-30,2018-06-30 12:09:00,120.0,
2018-06-30,2018-06-30 12:16:00,120.0,
2018-06-30,2018-06-30 12:23:00,120.0,
2018-06-30,2018-06-30 12:29:00,120.0,
2018-06-30,2018-06-30 12:37:00,100.0,
2018-06-30,2018-06-30 12:44:00,100.0,
2018-06-30,2018-06-30 12:51:00,80.0,
2018-06-30,2018-06-30 12:58:00,70.0,
2018-06-30,2018-06-30 13:02:00,70.0,
2018-06-30,2018-06-30 13:09:00,70.0,
2018-06-30,2018-06-30 13:16:00,70.0,
2018-06-30,2018-06-30 13:23:00,70.0,
2018-06-30,2018-06-30 13:29:00,70.0,
2018-06-30,2018-06-30 13:36:00,-999.0,
2018-06-30,2018-06-30 13:37:00,-999.0,
2018-06-30,2018-06-30 13:44:00,-999.0,
2018-06-30,2018-06-30 13:51:00,-999.0,
2018-06-30,2018-06-30 13:58:00,120.0,
2018-06-30,2018-06-30 14:02:00,120.0,
2018-06-30,2018-06-30 14:09:00,120.0,
2018-06-30,2018-06-30 14:16:00,120.0,
2018-06-30,2018-06-30 14:23:00,120.0,
2018-06-30,2018-06-30 14:29:00,100.0,
2018-06-30,2018-06-30 14:37:00,120.0,
2018-06-30,2018-06-30 14:44:00,190.0,
