date,datetime,wait_time(posted),wait_time(actual)
2018-01-01,2018-01-01 07:54:00,5.0,
2018-01-01,2018-01-01 08:01:00,10.0,
2018-01-01,2018-01-01 08:07:00,15.0,
2018-01-01,2018-01-01 08:10:00,20.0,
2018-01-01,2018-01-01 08:19:00,15.0,
2018-01-01,2018-01-01 08:28:00,30.0,
2018-01-01,2018-01-01 08:32:00,30.0,
2018-01-01,2018-01-01 08:40:00,30.0,
2018-01-01,2018-01-01 08:47:00,40.0,
2018-01-01,2018-01-01 08:52:00,45.0,
2018-01-01,2018-01-01 08:59:00,45.0,
2018-01-01,2018-01-01 09:03:00,45.0,
2018-01-01,2018-01-01 09:10:00,45.0,
2018-01-01,2018-01-01 09:21:00,65.0,
2018-01-01,2018-01-01 09:28:00,65.0,
2018-01-01,2018-01-01 09:30:00,65.0,
2018-01-01,2018-01-01 09:42:00,55.0,
2018-01-01,2018-01-01 09:45:00,55.0,
2018-01-01,2018-01-01 09:54:00,60.0,
2018-01-01,2018-01-01 09:59:00,60.0,
2018-01-01,2018-01-01 10:05:00,60.0,
2018-01-01,2018-01-01 10:10:00,60.0,
2018-01-01,2018-01-01 10:17:00,60.0,
2018-01-01,2018-01-01 10:24:00,60.0,
2018-01-01,2018-01-01 10:30:00,60.0,
2018-01-01,2018-01-01 10:38:00,70.0,
2018-01-01,2018-01-01 10:45:00,70.0,
2018-01-01,2018-01-01 10:52:00,70.0,
2018-01-01,2018-01-01 11:01:00,80.0,
2018-01-01,2018-01-01 11:03:00,80.0,
2018-01-01,2018-01-01 11:10:00,80.0,
2018-01-01,2018-01-01 11:19:00,80.0,
2018-01-01,2018-01-01 11:24:00,95.0,
2018-01-01,2018-01-01 11:34:00,95.0,
2018-01-01,2018-01-01 11:42:00,95.0,
2018-01-01,2018-01-01 11:45:00,95.0,
2018-01-01,2018-01-01 11:52:00,95.0,
2018-01-01,2018-01-01 11:59:00,95.0,
2018-01-01,2018-01-01 12:07:00,85.0,
2018-01-01,2018-01-01 12:10:00,85.0,
2018-01-01,2018-01-01 12:17:00,90.0,
2018-01-01,2018-01-01 12:26:00,90.0,
2018-01-01,2018-01-01 12:30:00,90.0,
2018-01-01,2018-01-01 12:44:00,90.0,
2018-01-01,2018-01-01 12:49:00,90.0,
2018-01-01,2018-01-01 12:54:00,90.0,
2018-01-01,2018-01-01 13:03:00,105.0,
2018-01-01,2018-01-01 13:05:00,105.0,
2018-01-01,2018-01-01 13:10:00,105.0,
2018-01-01,2018-01-01 13:17:00,105.0,
2018-01-01,2018-01-01 13:26:00,95.0,
2018-01-01,2018-01-01 13:34:00,95.0,
2018-01-01,2018-01-01 13:38:00,95.0,
2018-01-01,2018-01-01 13:47:00,95.0,
2018-01-01,2018-01-01 13:54:00,95.0,
2018-01-01,2018-01-01 13:59:00,95.0,
2018-01-01,2018-01-01 14:03:00,95.0,
2018-01-01,2018-01-01 14:14:00,95.0,
2018-01-01,2018-01-01 14:23:00,95.0,
2018-01-01,2018-01-01 14:24:00,95.0,
2018-01-01,2018-01-01 14:36:00,95.0,
2018-01-01,2018-01-01 14:40:00,95.0,
2018-01-01,2018-01-01 14:51:00,95.0,
2018-01-01,2018-01-01 14:52:00,95.0,
2018-01-01,2018-01-01 14:58:00,95.0,
2018-01-01,2018-01-01 14:59:00,95.0,
2018-01-01,2018-01-01 15:03:00,95.0,
2018-01-01,2018-01-01 15:12:00,85.0,
2018-01-01,2018-01-01 15:21:00,85.0,
2018-01-01,2018-01-01 15:24:00,85.0,
2018-01-01,2018-01-01 15:30:00,85.0,
2018-01-01,2018-01-01 15:38:00,85.0,
2018-01-01,2018-01-01 15:47:00,85.0,
2018-01-01,2018-01-01 15:54:00,85.0,
2018-01-01,2018-01-01 16:05:00,85.0,
2018-01-01,2018-01-01 16:05:00,85.0,
2018-01-01,2018-01-01 16:10:00,85.0,
2018-01-01,2018-01-01 16:21:00,85.0,
2018-01-01,2018-01-01 16:24:00,85.0,
2018-01-01,2018-01-01 14:59:00,,93.0
2018-01-01,2018-01-01 16:32:00,85.0,
2018-01-01,2018-01-01 16:38:00,85.0,
2018-01-01,2018-01-01 16:45:00,85.0,
2018-01-01,2018-01-01 16:58:00,105.0,
2018-01-01,2018-01-01 16:59:00,105.0,
2018-01-01,2018-01-01 17:09:00,150.0,
2018-01-01,2018-01-01 17:10:00,150.0,
2018-01-01,2018-01-01 17:19:00,120.0,
2018-01-01,2018-01-01 17:24:00,120.0,
2018-01-01,2018-01-01 17:32:00,120.0,
2018-01-01,2018-01-01 17:38:00,120.0,
2018-01-01,2018-01-01 17:45:00,90.0,
2018-01-01,2018-01-01 17:56:00,75.0,
2018-01-01,2018-01-01 18:03:00,75.0,
2018-01-01,2018-01-01 18:05:00,75.0,
2018-01-01,2018-01-01 16:36:00,,90.0
