date,datetime,wait_time(posted),wait_time(actual)
2018-01-01,2018-01-01 08:57:00,25.0,
2018-01-01,2018-01-01 08:58:00,25.0,
2018-01-01,2018-01-01 09:02:00,25.0,
2018-01-01,2018-01-01 09:03:00,45.0,
2018-01-01,2018-01-01 09:04:00,45.0,
2018-01-01,2018-01-01 09:11:00,45.0,
2018-01-01,2018-01-01 08:59:00,,15.0
2018-01-01,2018-01-01 09:16:00,55.0,
2018-01-01,2018-01-01 09:25:00,55.0,
2018-01-01,2018-01-01 09:29:00,55.0,
2018-01-01,2018-01-01 09:02:00,,32.0
2018-01-01,2018-01-01 09:37:00,55.0,
2018-01-01,2018-01-01 09:02:00,,32.0
2018-01-01,2018-01-01 09:42:00,55.0,
2018-01-01,2018-01-01 09:46:00,55.0,
2018-01-01,2018-01-01 09:57:00,55.0,
2018-01-01,2018-01-01 09:58:00,55.0,
2018-01-01,2018-01-01 10:04:00,55.0,
2018-01-01,2018-01-01 10:09:00,55.0,
2018-01-01,2018-01-01 10:16:00,45.0,
2018-01-01,2018-01-01 10:29:00,-999.0,
2018-01-01,2018-01-01 10:31:00,-999.0,
2018-01-01,2018-01-01 10:37:00,-999.0,
2018-01-01,2018-01-01 10:44:00,-999.0,
2018-01-01,2018-01-01 10:51:00,-999.0,
2018-01-01,2018-01-01 11:00:00,-999.0,
2018-01-01,2018-01-01 11:04:00,-999.0,
2018-01-01,2018-01-01 11:09:00,-999.0,
2018-01-01,2018-01-01 11:16:00,-999.0,
2018-01-01,2018-01-01 11:23:00,-999.0,
2018-01-01,2018-01-01 11:31:00,-999.0,
2018-01-01,2018-01-01 11:39:00,40.0,
2018-01-01,2018-01-01 11:40:00,40.0,
2018-01-01,2018-01-01 11:44:00,45.0,
2018-01-01,2018-01-01 11:57:00,95.0,
2018-01-01,2018-01-01 11:58:00,95.0,
2018-01-01,2018-01-01 11:58:00,95.0,
2018-01-01,2018-01-01 12:02:00,95.0,
2018-01-01,2018-01-01 12:16:00,30.0,
2018-01-01,2018-01-01 12:19:00,35.0,
2018-01-01,2018-01-01 12:25:00,50.0,
2018-01-01,2018-01-01 12:31:00,75.0,
2018-01-01,2018-01-01 12:36:00,55.0,
2018-01-01,2018-01-01 12:37:00,90.0,
2018-01-01,2018-01-01 12:37:00,55.0,
2018-01-01,2018-01-01 12:44:00,125.0,
2018-01-01,2018-01-01 12:55:00,125.0,
2018-01-01,2018-01-01 13:02:00,125.0,
2018-01-01,2018-01-01 13:02:00,125.0,
2018-01-01,2018-01-01 13:09:00,125.0,
2018-01-01,2018-01-01 13:18:00,125.0,
2018-01-01,2018-01-01 13:27:00,125.0,
2018-01-01,2018-01-01 13:31:00,125.0,
2018-01-01,2018-01-01 13:39:00,125.0,
2018-01-01,2018-01-01 13:46:00,125.0,
2018-01-01,2018-01-01 13:51:00,120.0,
2018-01-01,2018-01-01 13:58:00,125.0,
2018-01-01,2018-01-01 14:06:00,130.0,
2018-01-01,2018-01-01 14:11:00,135.0,
2018-01-01,2018-01-01 14:15:00,135.0,
2018-01-01,2018-01-01 14:23:00,140.0,
2018-01-01,2018-01-01 14:26:00,140.0,
2018-01-01,2018-01-01 14:29:00,140.0,
2018-01-01,2018-01-01 14:43:00,155.0,
2018-01-01,2018-01-01 14:48:00,155.0,
2018-01-01,2018-01-01 14:51:00,160.0,
2018-01-01,2018-01-01 14:58:00,160.0,
2018-01-01,2018-01-01 15:02:00,160.0,
2018-01-01,2018-01-01 15:09:00,160.0,
2018-01-01,2018-01-01 12:36:00,,159.0
2018-01-01,2018-01-01 12:36:00,,159.0
2018-01-01,2018-01-01 15:26:00,115.0,
2018-01-01,2018-01-01 15:29:00,180.0,
2018-01-01,2018-01-01 15:29:00,180.0,
2018-01-01,2018-01-01 15:37:00,115.0,
2018-01-01,2018-01-01 15:39:00,115.0,
2018-01-01,2018-01-01 15:46:00,115.0,
2018-01-01,2018-01-01 15:53:00,-999.0,
2018-01-01,2018-01-01 15:58:00,150.0,
2018-01-01,2018-01-01 16:04:00,150.0,
2018-01-01,2018-01-01 16:13:00,150.0,
2018-01-01,2018-01-01 16:18:00,125.0,
2018-01-01,2018-01-01 16:23:00,125.0,
2018-01-01,2018-01-01 16:31:00,115.0,
2018-01-01,2018-01-01 16:37:00,115.0,
2018-01-01,2018-01-01 16:48:00,125.0,
2018-01-01,2018-01-01 16:55:00,125.0,
2018-01-01,2018-01-01 16:58:00,125.0,
2018-01-01,2018-01-01 17:02:00,125.0,
2018-01-01,2018-01-01 17:09:00,125.0,
2018-01-01,2018-01-01 17:18:00,125.0,
2018-01-01,2018-01-01 17:25:00,125.0,
2018-01-01,2018-01-01 17:35:00,60.0,
2018-01-01,2018-01-01 17:37:00,80.0,
2018-01-01,2018-01-01 17:48:00,80.0,
2018-01-01,2018-01-01 17:51:00,80.0,
2018-01-01,2018-01-01 18:00:00,80.0,
2018-01-01,2018-01-01 18:04:00,80.0,
2018-01-01,2018-01-01 18:09:00,95.0,
2018-01-01,2018-01-01 17:30:00,,45.0
2018-01-01,2018-01-01 18:18:00,80.0,
2018-01-01,2018-01-01 18:23:00,75.0,
2018-01-01,2018-01-01 18:29:00,65.0,
2018-01-01,2018-01-01 18:44:00,65.0,
2018-01-01,2018-01-01 18:45:00,70.0,
2018-01-01,2018-01-01 18:53:00,70.0,
2018-01-01,2018-01-01 18:58:00,70.0,
2018-01-01,2018-01-01 19:02:00,70.0,
2018-01-01,2018-01-01 19:09:00,60.0,
2018-01-01,2018-01-01 19:20:00,60.0,
2018-01-01,2018-01-01 19:29:00,55.0,
2018-01-01,2018-01-01 19:33:00,55.0,
2018-01-01,2018-01-01 19:39:00,55.0,
2018-01-01,2018-01-01 19:48:00,50.0,
2018-01-01,2018-01-01 19:51:00,50.0,
2018-01-01,2018-01-01 19:58:00,40.0,
2018-01-01,2018-01-01 20:06:00,40.0,
2018-01-01,2018-01-01 20:11:00,40.0,
2018-01-01,2018-01-01 20:20:00,45.0,
2018-01-01,2018-01-01 20:23:00,45.0,
2018-01-01,2018-01-01 20:33:00,45.0,
2018-01-01,2018-01-01 20:37:00,45.0,
2018-01-01,2018-01-01 20:44:00,55.0,
2018-01-01,2018-01-01 20:51:00,55.0,
2018-01-01,2018-01-01 20:58:00,55.0,
2018-01-01,2018-01-01 21:02:00,55.0,
2018-01-01,2018-01-01 21:11:00,-999.0,
2018-01-02,2018-01-02 07:51:00,-999.0,
2018-01-02,2018-01-02 07:58:00,-999.0,
2018-01-02,2018-01-02 08:04:00,-999.0,
2018-01-02,2018-01-02 08:09:00,5.0,
2018-01-02,2018-01-02 08:18:00,25.0,
2018-01-02,2018-01-02 08:24:00,60.0,
2018-01-02,2018-01-02 08:25:00,60.0,
2018-01-02,2018-01-02 08:29:00,60.0,
2018-01-02,2018-01-02 08:37:00,60.0,
2018-01-02,2018-01-02 08:44:00,60.0,
2018-01-02,2018-01-02 08:45:00,60.0,
2018-01-02,2018-01-02 08:51:00,85.0,
2018-01-02,2018-01-02 08:26:00,,28.0
2018-01-02,2018-01-02 08:58:00,85.0,
2018-01-02,2018-01-02 09:06:00,85.0,
2018-01-02,2018-01-02 09:09:00,85.0,
2018-01-02,2018-01-02 09:18:00,85.0,
2018-01-02,2018-01-02 09:23:00,85.0,
2018-01-02,2018-01-02 09:29:00,85.0,
2018-01-02,2018-01-02 09:37:00,85.0,
2018-01-02,2018-01-02 09:44:00,85.0,
2018-01-02,2018-01-02 09:53:00,85.0,
2018-01-02,2018-01-02 09:58:00,85.0,
2018-01-02,2018-01-02 10:04:00,85.0,
2018-01-02,2018-01-02 10:11:00,85.0,
2018-01-02,2018-01-02 10:16:00,95.0,
2018-01-02,2018-01-02 10:16:00,95.0,
2018-01-02,2018-01-02 10:25:00,105.0,
2018-01-02,2018-01-02 10:29:00,105.0,
2018-01-02,2018-01-02 10:43:00,105.0,
2018-01-02,2018-01-02 10:44:00,105.0,
2018-01-02,2018-01-02 10:51:00,150.0,
2018-01-02,2018-01-02 10:58:00,150.0,
2018-01-02,2018-01-02 11:02:00,150.0,
2018-01-02,2018-01-02 11:09:00,150.0,
2018-01-02,2018-01-02 11:22:00,150.0,
2018-01-02,2018-01-02 11:23:00,150.0,
2018-01-02,2018-01-02 11:35:00,115.0,
2018-01-02,2018-01-02 11:37:00,115.0,
2018-01-02,2018-01-02 11:48:00,115.0,
2018-01-02,2018-01-02 11:53:00,165.0,
2018-01-02,2018-01-02 12:02:00,170.0,
2018-01-02,2018-01-02 12:04:00,170.0,
2018-01-02,2018-01-02 12:09:00,175.0,
2018-01-02,2018-01-02 12:16:00,-999.0,
2018-01-02,2018-01-02 12:16:00,-999.0,
2018-01-02,2018-01-02 12:23:00,-999.0,
2018-01-02,2018-01-02 12:35:00,-999.0,
2018-01-02,2018-01-02 12:37:00,175.0,
2018-01-02,2018-01-02 12:44:00,125.0,
2018-01-02,2018-01-02 12:53:00,125.0,
2018-01-02,2018-01-02 13:02:00,125.0,
2018-01-02,2018-01-02 13:04:00,125.0,
2018-01-02,2018-01-02 13:09:00,125.0,
2018-01-02,2018-01-02 13:16:00,200.0,
2018-01-02,2018-01-02 13:17:00,200.0,
2018-01-02,2018-01-02 13:23:00,200.0,
2018-01-02,2018-01-02 13:29:00,200.0,
2018-01-02,2018-01-02 13:39:00,200.0,
2018-01-02,2018-01-02 13:50:00,95.0,
2018-01-02,2018-01-02 13:51:00,95.0,
2018-01-02,2018-01-02 14:00:00,100.0,
2018-01-02,2018-01-02 14:02:00,120.0,
2018-01-02,2018-01-02 14:11:00,135.0,
2018-01-02,2018-01-02 14:16:00,150.0,
2018-01-02,2018-01-02 14:25:00,180.0,
2018-01-02,2018-01-02 14:29:00,180.0,
2018-01-02,2018-01-02 14:43:00,180.0,
